station_Borgo Valsugana,station_Monte Gaza,station_Parco S. Chiara,station_Piana Rotaliana,station_Riva del Garda,station_Rovereto,station_Via Bolzano,elevation,day,cos_week_day,sin_week_day,cos_hour,sin_hour,temperature,precipitation,O3_1,O3_2,O3_3,O3_diff_1,O3_diff_2,PM10_1,NO2_1,power_area_50_1,power_area_50_2,target
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,-0.8660254037844387,0.49999999999999994,0.875,0.0,3.0,3.0,3.0,0.0,0.0,38.0,69.0,131.28549466389518,117.75005709247344,4.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,-0.9659258262890682,0.258819045102521,1.225,0.0,4.0,3.0,3.0,1.0,1.0,38.0,65.0,143.06522128953554,131.28549466389518,4.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,-1.0,1.2246467991473532e-16,1.85,0.0,4.0,4.0,3.0,0.0,1.0,34.0,65.0,145.3299182573234,143.06522128953554,5.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,-0.9659258262890683,-0.2588190451025208,2.85,0.0,5.0,4.0,4.0,1.0,1.0,34.0,65.0,144.83698289354012,145.3299182573234,6.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,-0.8660254037844388,-0.4999999999999998,3.425,0.0,6.0,5.0,4.0,1.0,2.0,33.0,59.0,137.88229210554186,144.83698289354012,7.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,-0.7071067811865479,-0.7071067811865471,4.3,0.0,7.0,6.0,5.0,1.0,2.0,32.0,56.0,130.8707724294254,137.88229210554186,6.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,-0.5000000000000004,-0.8660254037844384,4.675,0.0,6.0,7.0,6.0,-1.0,0.0,31.0,57.0,125.47809117680988,130.8707724294254,5.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,-0.25881904510252063,-0.9659258262890683,4.55,0.0,5.0,6.0,7.0,-1.0,-2.0,31.0,61.0,126.13748914277362,125.47809117680988,3.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,-1.8369701987210297e-16,-1.0,4.025,0.0,3.0,5.0,6.0,-2.0,-3.0,41.0,69.0,136.57384984368366,126.13748914277362,4.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,0.2588190451025203,-0.9659258262890684,3.35,0.0,4.0,3.0,5.0,1.0,-1.0,52.0,81.0,147.3255078331645,136.57384984368366,4.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,0.5,-0.8660254037844386,3.4,0.0,4.0,4.0,3.0,0.0,1.0,48.0,78.0,149.16254159760734,147.3255078331645,3.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,0.7071067811865475,-0.7071067811865477,3.1,0.0,3.0,4.0,4.0,-1.0,-1.0,46.0,79.0,143.8165596133082,149.16254159760734,4.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,0.8660254037844384,-0.5000000000000004,2.975,0.0,4.0,3.0,4.0,1.0,0.0,47.0,70.0,130.68829341867908,143.8165596133082,3.0
